Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
transportation,4,350,-0.23052158458369232,0,1,1
transportation,81,748,-0.22921851969233178,0,1,1
health,39,381,-0.2083694814305633,0,2,1
beauty,33,861,-0.2214001303441686,0,2,1
family,65,1011,-0.14321623686253682,0,2,1
health,45,115,0.1408519094540587,0,2,2
maid,62,1011,-0.10412429012172092,0,6,1
food,53,486,-0.2250487120399781,0,6,2
subscription,77,348,-0.19429638060386958,0,6,0
household,43,910,0.18124692108623514,0,6,2
transportation,4,757,-0.2214001303441686,0,6,1
transportation,11,98,-0.22921851969233178,0,6,1
household,38,410,-0.07128705485943557,0,6,0
transportation,11,86,-0.22765484182269916,0,6,1
transportation,4,351,-0.22400626012688965,0,6,1
culture,56,102,-0.11428819627433305,0,3,0
transportation,82,91,0.25812774967650637,0,3,0
food,74,977,-0.23052158458369232,0,3,2
apparel,15,973,-0.12236719860076833,0,3,2
apparel,46,322,-0.20889070738710752,0,3,1
food,53,616,-0.21566664482218226,0,3,2
money transfer,37,1011,2.371699003463286,0,3,2
household,2,207,0.07830479466875326,18,2,2
household,34,961,-0.21618787077872648,16,0,1
household,44,594,-0.2214001303441686,16,0,1
household,2,128,-0.1640652751243053,15,0,1
food,18,502,-0.11585187414396568,20,4,0
food,74,238,-0.21618787077872648,18,4,1
transportation,78,976,-0.17501102021173373,15,4,1
apparel,26,591,-0.21753784600617598,10,4,0
tourism,23,780,-0.15394046091843397,21,6,0
food,79,50,-0.23078219756196441,18,6,1
household,29,627,-0.2083694814305633,18,6,1
other,62,869,0.9956624781865663,18,6,0
household,29,643,-0.2083694814305633,18,6,1
apparel,0,797,-0.11715493903532621,18,6,0
apparel,26,802,-0.09109364120811561,18,6,0
transportation,4,778,-0.22791545480097125,18,6,1
transportation,81,81,-0.2135817409960054,14,6,1
transportation,4,51,-0.22661238990961072,13,6,1
transportation,4,74,-0.22661238990961072,19,5,1
household,43,910,0.28418904750371693,19,5,0
household,2,208,3.166568587193209,17,5,2
household,34,969,-0.21618787077872648,12,5,2
transportation,81,745,-0.22921851969233178,11,5,1
food,79,52,-0.22921851969233178,11,5,1
food,74,237,-0.22661238990961072,11,5,1
food,49,502,-0.1510346262107,15,1,2
household,43,878,0.30608053767857385,14,1,0
transportation,4,74,-0.22400626012688965,16,3,1
food,10,260,-0.229739745648876,16,3,2
food,53,616,-0.21566664482218226,16,3,2
health,35,911,-0.17924598110865547,14,3,0
transportation,81,97,-0.22661238990961072,13,3,1
subscription,77,720,-0.19351454166905327,11,3,0
food,74,121,-0.21879400056144754,11,3,1
subscription,55,201,0.42882925044473574,19,2,0
transportation,4,1011,-0.22661238990961072,10,2,1
subscription,55,365,-0.18725983019052272,15,0,2
family,65,1011,0.286795177286438,13,5,2
subscription,55,365,-0.22791545480097125,10,5,2
subscription,55,365,-0.23052158458369232,22,1,2
subscription,55,365,-0.23052158458369232,21,0,2
transportation,81,126,0.08184913117325388,9,0,2
food,22,31,-0.212539289082917,0,5,1
self-development,62,588,0.1322516811710792,0,5,0
household,38,885,0.5474081555585439,0,2,2
subscription,55,365,-0.060601922750279216,0,4,0
subscription,55,365,-0.22791545480097125,14,1,0
beauty,33,475,-0.2083694814305633,10,1,1
household,43,882,-0.21488480588736594,10,3,1
transportation,4,729,-0.2214001303441686,7,2,1
subscription,55,365,-0.060601922750279216,9,4,2
subscription,77,720,-0.1911690248646043,21,6,0
health,35,38,-0.19429638060386958,20,5,1
family,65,1011,-0.19794496229967906,14,1,1
family,54,883,-0.20263599590857698,14,3,2
household,44,430,-0.22791545480097125,19,2,1
